Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"response = sendRequest(findTestObject(""Product/AE021_GetCateListByProdTypePost""))",,,,2022-12-09 20:52:46,2022-12-09 20:52:47,0.268s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:47,2022-12-09 20:52:47,0.003s,PASSED
"response = sendRequest(findTestObject(""Product/AE022_GetCateListByProdTypePut""))",,,,2022-12-09 20:52:47,2022-12-09 20:52:47,0.248s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:47,2022-12-09 20:52:47,0.003s,PASSED
,,,,,,,
Test Cases/TC_Product_CreateProduct,,,,2022-12-09 20:52:47,2022-12-09 20:52:48,0.734s,FAILED
"response = sendRequest(findTestObject(""Product/AE001_CreateProduct""))",,,,2022-12-09 20:52:48,2022-12-09 20:52:48,0.232s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:48,2022-12-09 20:52:48,0.004s,FAILED
,,,,,,,
Test Cases/TC_Product_GetAllProduct,,,,2022-12-09 20:52:48,2022-12-09 20:52:50,2.668s,PASSED
"response = sendRequest(findTestObject(""Product/AE007_GetAllProduct""))",,,,2022-12-09 20:52:48,2022-12-09 20:52:49,0.922s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:49,2022-12-09 20:52:49,0.010s,PASSED
"response = sendRequest(findTestObject(""Product/AE008_AllProdLink""))",,,,2022-12-09 20:52:49,2022-12-09 20:52:50,0.376s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:50,2022-12-09 20:52:50,0.005s,PASSED
"response = sendRequest(findTestObject(""Product/AE009_AllProdPost""))",,,,2022-12-09 20:52:50,2022-12-09 20:52:50,0.393s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:50,2022-12-09 20:52:50,0.008s,PASSED
"response = sendRequest(findTestObject(""Product/AE010_AllProdPut""))",,,,2022-12-09 20:52:50,2022-12-09 20:52:50,0.408s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:50,2022-12-09 20:52:50,0.006s,PASSED
,,,,,,,
Test Cases/TC_Product_ProductListByCategory,,,,2022-12-09 20:52:50,2022-12-09 20:52:54,3.472s,PASSED
"response = sendRequest(findTestObject(""Product/AE024_GetCateListByProdData""))",,,,2022-12-09 20:52:52,2022-12-09 20:52:52,0.502s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:52,2022-12-09 20:52:52,0.006s,PASSED
"response = sendRequest(findTestObject(""Product/AE025_GetCateListByProdPulsa""))",,,,2022-12-09 20:52:52,2022-12-09 20:52:53,0.486s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:53,2022-12-09 20:52:53,0.006s,PASSED
"response = sendRequest(findTestObject(""Product/AE026_GetCateListByProdLink""))",,,,2022-12-09 20:52:53,2022-12-09 20:52:53,0.420s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:53,2022-12-09 20:52:53,0.006s,PASSED
"response = sendRequest(findTestObject(""Product/AE027_GetCateListByProdPost""))",,,,2022-12-09 20:52:53,2022-12-09 20:52:53,0.331s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:53,2022-12-09 20:52:53,0.008s,PASSED
"response = sendRequest(findTestObject(""Product/AE028_GetCateListByProdPut""))",,,,2022-12-09 20:52:53,2022-12-09 20:52:54,0.448s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:54,2022-12-09 20:52:54,0.004s,PASSED
,,,,,,,
Test Cases/TC_Product_ProductListByType,,,,2022-12-09 20:52:54,2022-12-09 20:52:57,3.506s,PASSED
"response = sendRequest(findTestObject(""Product/AE029_GetProdListByTypeDaily""))",,,,2022-12-09 20:52:55,2022-12-09 20:52:56,0.430s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:56,2022-12-09 20:52:56,0.006s,PASSED
"response = sendRequest(findTestObject(""Product/AE030_GetProdListByTypeBills""))",,,,2022-12-09 20:52:56,2022-12-09 20:52:56,0.426s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:56,2022-12-09 20:52:56,0.006s,PASSED
"response = sendRequest(findTestObject(""Product/AE031_GetProdListByTypeLink""))",,,,2022-12-09 20:52:56,2022-12-09 20:52:56,0.423s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:56,2022-12-09 20:52:56,0.004s,PASSED
"response = sendRequest(findTestObject(""Product/AE032_GetProdListByTypePost""))",,,,2022-12-09 20:52:56,2022-12-09 20:52:57,0.491s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:57,2022-12-09 20:52:57,0.005s,PASSED
"response = sendRequest(findTestObject(""Product/AE033_GetProdListByTypePut""))",,,,2022-12-09 20:52:57,2022-12-09 20:52:57,0.439s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:57,2022-12-09 20:52:57,0.011s,PASSED
,,,,,,,
Test Cases/TC_Product_TotalProduct,,,,2022-12-09 20:52:57,2022-12-09 20:53:00,2.933s,PASSED
